vehicle_id,time,target_id,entrance_id,exit_id
1,4:01,200,223,226
2,4:11,201,222,224
3,4:18,202,222,225
4,4:23,203,222,227
5,4:37,204,223,225
6,4:56,205,222,227
7,5:03,206,222,230
8,5:09,207,223,226
9,5:19,208,223,227
10,5:23,209,222,226
11,5:28,210,223,228
12,5:30,211,223,224
13,5:31,212,222,224
14,5:32,213,223,227
15,5:33,214,222,227
16,5:34,215,222,224
17,5:36,216,223,227
18,5:37,217,223,227
19,5:38,218,223,224
20,5:40,219,222,224
21,5:41,220,223,225
22,5:42,221,223,228
23,5:43,102,223,229
24,5:44,103,222,230
25,5:46,104,223,229
26,5:47,105,223,230
27,5:48,106,222,224
28,5:50,107,222,225
29,5:51,108,222,229
30,5:53,109,222,228
31,5:55,190,222,228
32,5:56,191,223,226
33,5:57,192,223,227
34,5:58,193,223,228
35,5:59,194,222,228
36,6:01,195,222,230
37,6:03,164,222,230
38,6:04,165,222,227
39,6:01,166,222,225
40,6:03,167,223,228
41,6:04,168,222,224
42,6:06,169,223,224
43,6:07,170,222,227
44,6:08,171,223,230
45,6:09,172,223,227
46,6:10,173,223,228
47,6:14,174,222,226
48,6:15,175,222,228
49,6:18,176,223,226
50,6:19,177,222,227
51,6:20,178,223,225
52,6:21,179,222,225
53,6:23,180,222,228
54,6:24,181,223,224
55,6:25,145,223,228
56,6:26,146,223,226
57,6:28,147,223,224
58,6:29,148,222,224
59,6:30,149,223,224
60,6:31,150,222,230
61,6:32,151,222,226
62,6:33,152,222,230
63,6:34,153,223,227
64,6:35,154,223,227
65,6:36,155,222,224
66,6:37,156,223,230
67,6:38,157,222,226
68,6:39,158,222,229
69,6:40,159,223,226
70,6:41,160,222,230
71,6:42,161,222,230
72,6:43,162,222,229
73,6:44,163,223,228
74,6:46,55,222,228
75,6:47,56,223,229
76,6:49,57,222,226
77,6:50,58,222,226
78,6:52,59,222,224
79,6:54,60,222,226
80,6:55,61,223,228
81,6:56,62,223,227
82,6:58,63,222,226
83,6:59,64,222,228
84,7:01,65,222,228
85,7:02,66,223,229
86,7:04,67,223,225
87,7:05,68,223,224
88,7:07,69,223,227
89,7:08,70,223,226
90,7:09,71,222,226
91,7:10,72,223,228
92,7:11,73,223,224
93,7:12,74,223,224
94,7:13,75,222,228
95,7:14,76,222,228
96,7:15,77,222,226
97,7:16,28,222,224
98,7:17,29,223,229
99,7:18,30,222,225
100,7:19,31,223,228
101,7:20,32,223,228
102,7:22,33,222,230
103,7:23,34,223,227
104,7:25,35,223,226
105,7:26,36,222,224
106,7:27,37,222,230
107,7:28,38,223,224
108,7:29,39,222,224
109,7:31,40,222,228
110,7:32,41,223,228
111,7:34,42,223,226
112,7:35,43,223,224
113,7:37,44,222,229
114,7:38,45,223,224
115,7:40,46,223,229
116,7:41,47,223,230
117,7:42,48,222,226
118,7:44,49,222,228
119,7:45,50,223,224
120,7:46,51,223,228
121,7:47,52,222,227
122,7:48,53,223,226
123,7:49,54,223,224
124,7:50,55,222,225
125,7:51,56,223,226
126,7:52,57,222,224
127,7:54,58,222,229
128,7:55,59,222,227
129,7:56,60,223,228
130,7:57,61,222,228
131,7:58,62,222,228
132,8:01,63,222,228
133,8:02,64,222,226
134,8:03,65,223,224
135,8:04,66,223,228
136,8:05,67,222,224
137,8:06,68,223,226
138,8:07,69,223,227
139,8:08,70,222,227
140,8:09,71,223,224
141,8:10,72,223,224
142,8:11,73,222,230
143,8:13,74,222,228
144,8:14,75,223,228
145,8:15,76,222,224
146,8:16,77,222,227
147,8:17,78,222,224
148,8:19,79,222,230
149,8:20,80,223,224
150,8:21,81,223,229
151,8:22,82,222,225
152,8:24,83,222,228
153,8:26,84,222,230
154,8:27,34,222,229
155,8:29,1,223,229
156,8:32,2,223,228
157,8:36,3,222,224
158,8:37,4,222,226
159,8:42,5,223,230
160,8:47,6,223,224
161,8:52,7,223,226
162,9:02,8,223,226
163,9:16,9,223,225
164,9:28,10,222,224
165,9:31,11,222,226
166,9:48,12,222,230
167,9:55,13,223,226
168,10:08,14,223,226
169,10:11,15,223,225
170,10:15,16,223,227
171,10:36,17,223,225
172,10:49,18,222,226
173,10:58,19,223,225
174,11:01,20,223,226
175,11:07,21,223,226
176,11:29,22,223,228
177,11:35,23,222,224
