vehicle_id,time,target_id,entrance_id,exit_id
1,4:35,47,67,65
2,5:02,51,67,66
3,5:26,46,67,65
4,5:45,52,67,66
5,5:57,48,67,66
6,6:03,43,67,66
7,6:04,44,67,65
8,6:30,49,67,66
9,6:36,45,67,65
10,6:38,50,67,66
11,6:43,37,67,66
12,6:54,41,67,65
13,6:56,38,67,66
14,7:02,35,67,66
15,7:05,39,67,66
16,7:06,42,67,65
17,7:10,40,67,66
18,7:11,36,67,65
19,7:15,30,67,66
20,7:18,31,67,66
21,7:20,34,67,66
22,7:23,33,67,65
23,7:24,29,67,66
24,7:32,32,67,65
25,7:35,59,67,65
26,7:36,57,67,66
27,7:37,60,67,66
28,7:38,56,67,65
29,7:40,61,67,65
30,7:41,53,67,66
31,7:43,58,67,65
32,7:45,54,67,65
33,7:46,55,67,66
34,7:47,28,67,65
35,7:48,23,67,65
36,7:50,19,67,66
37,7:52,21,67,65
38,7:53,18,67,66
39,7:55,22,67,65
40,7:58,27,67,66
41,8:01,25,67,65
42,8:03,24,67,65
43,8:06,17,67,66
44,8:09,26,67,65
45,8:10,20,67,65
46,9:13,14,67,65
47,10:15,10,67,66
48,10:46,6,67,65
49,11:20,3,67,66
50,11:32,8,67,65
51,11:43,16,67,65
