vehicle_id,time,target_id,entrance_id,exit_id
1,4:05,90,116,114
2,4:26,99,116,110
3,5:09,22,115,114
4,5:10,83,115,113
5,5:18,29,116,112
6,5:32,12,115,111
7,5:35,21,115,111
8,5:39,8,116,110
9,5:41,56,115,111
10,5:42,34,116,113
11,5:43,88,116,110
12,5:45,1,115,111
13,5:51,102,116,110
14,5:53,42,116,112
15,5:55,100,116,112
16,5:59,30,115,110
17,6:01,51,116,111
18,6:03,94,115,113
19,6:04,5,115,110
20,6:05,81,116,112
21,6:07,71,115,110
22,6:08,4,115,110
23,6:11,24,115,111
24,6:13,74,116,113
25,6:16,38,116,113
26,6:17,91,116,112
27,6:19,93,115,112
28,6:20,41,115,111
29,6:21,55,116,113
30,6:28,39,115,112
31,6:30,64,116,110
32,6:31,11,115,112
33,6:35,27,116,110
34,6:41,25,115,110
35,6:46,47,116,112
36,6:47,28,116,111
37,6:48,97,115,111
38,6:50,96,115,111
39,6:52,80,116,113
40,6:55,68,115,112
41,6:59,104,116,112
42,7:05,84,115,111
43,7:06,78,115,113
44,7:08,53,115,112
45,7:11,76,115,110
46,7:12,67,115,112
47,7:13,54,116,110
48,7:14,61,115,110
49,7:18,31,116,112
50,7:19,50,115,111
51,7:20,9,115,112
52,7:22,69,116,110
53,7:23,46,116,111
54,7:27,45,115,111
55,7:30,75,116,110
56,7:40,26,116,110
57,7:41,37,115,113
58,7:43,15,115,112
59,7:46,49,115,113
60,7:47,101,115,112
61,7:49,36,116,113
62,7:50,33,116,110
63,7:51,43,116,113
64,7:52,52,115,112
65,7:55,62,116,112
66,7:56,86,115,111
67,8:02,14,116,113
68,8:03,63,115,112
69,8:06,40,116,110
70,8:08,72,116,112
71,8:13,35,116,110
72,8:14,13,115,110
73,8:16,98,115,113
74,8:22,17,116,112
75,8:24,87,116,112
76,8:25,59,115,111
77,8:29,89,116,113
78,8:39,48,115,112
79,8:45,103,116,110
80,8:52,82,115,112
81,9:13,23,115,110
82,9:32,3,115,110
83,9:52,60,116,113
84,10:02,70,116,112
85,10:09,66,116,113
86,10:54,18,115,112
87,11:24,65,116,113
88,11:45,44,116,110
89,11:56,58,115,113
