light_id,light_x,light_y
1,15,20.9
2,20.3,20.9
3,25.7,20.9
4,31.1,20.9
5,36.5,20.9
6,41.9,20.9
7,47.3,20.9
8,52.7,20.9
9,58.1,20.9
10,63.5,20.9
11,68.9,20.9
12,74.3,20.9
13,79.7,20.9
14,85.1,20.9
15,15,25.7
16,20.3,25.7
17,25.7,25.7
18,31.1,25.7
19,36.5,25.7
20,41.9,25.7
21,47.3,25.7
22,52.7,25.7
23,58.1,25.7
24,63.5,25.7
25,68.9,25.7
26,74.3,25.7
27,79.7,25.7
28,85.1,25.7
29,15,36.7
30,20.3,36.7
31,25.7,36.7
32,31.1,36.7
33,36.5,36.7
34,52.7,36.7
35,58.1,36.7
36,85.1,36.7
37,4.1,41.6
38,15,41.6
39,20.3,41.6
40,25.7,41.6
41,31.1,41.6
42,36.5,41.6
43,52.7,41.6
44,58.1,41.6
45,68.9,41.6
46,74.3,41.6
47,85.1,41.6
48,15,52.6
49,20.3,52.6
50,25.7,52.6
51,41.9,52.6
52,47.3,52.6
53,4.1,17.1
54,4.1,14.3
55,79.7,9.9
56,85.1,9.9
