id,x,y,type
1,0,-3.9,
2,2.4,-3.9,
3,4.8,-3.9,
4,8.15,-3.9,
5,10.55,-3.9,
6,13.9,-3.9,
7,16.3,-3.9,
8,18.7,-3.9,
9,22.3,-3.9,
10,24.7,-3.9,
11,27.1,-3.9,
12,30.7,-3.9,
13,33.1,-3.9,
14,37,-2.4,
15,37,0,
16,37,2.4,
17,37,6,
18,37,8.4,
19,37,10.8,
20,30,6,
21,30,8.4,
22,30,10.8,
23,37,14.4,
24,37,16.8,
25,37,19.2,
26,30,14.4,
27,30,16.8,
28,30,19.2,
29,37,22.8,
30,37,25.2,
31,37,27.6,
32,30,22.8,
33,30,25.2,
34,30,27.6,
35,37,31.2,
36,37,33.6,
37,37,36,
38,33.1,37.5,
39,30.7,37.5,
40,27.1,37.5,
41,24.7,37.5,
42,22.3,37.5,
43,18.7,37.5,
44,16.3,37.5,
45,13.9,37.5,
46,10.6,37.5,
47,8.2,37.5,
48,19.4,27.6,
49,19.4,25.2,
50,19.4,22.8,
51,12.4,25.2,
52,12.4,22.8,
53,19.4,19.2,
54,19.4,16.8,
55,19.4,14.4,
56,12.4,19.2,
57,12.4,16.8,
58,12.4,14.4,
59,19.4,10.8,
60,19.4,8.4,
61,19.4,6,
62,12.4,10.8,
63,12.4,8.4,
64,12.4,6,
65,6.8,34.6,exit
66,35.9,-4,exit
67,0.9,5,entrance
