vehicle_id,time,target_id,entrance_id,exit_id
1,4:05,96,116,114
2,4:26,97,116,110
3,5:09,98,115,114
4,5:10,99,115,113
5,5:18,100,116,112
6,5:32,101,115,111
7,5:35,102,115,111
8,5:39,103,116,110
9,5:41,104,115,111
10,5:42,105,116,113
11,5:43,106,116,110
12,5:45,76,115,111
13,5:51,77,116,110
14,5:53,78,116,112
15,5:55,79,116,112
16,5:59,80,115,110
17,6:01,81,116,111
18,6:03,82,115,113
19,6:04,83,115,110
20,6:05,84,116,112
21,6:07,85,115,110
22,6:08,86,115,110
23,6:11,87,115,111
24,6:13,88,116,113
25,6:16,89,116,113
26,6:17,90,116,112
27,6:19,91,115,112
28,6:20,92,115,111
29,6:21,93,116,113
30,6:28,94,115,112
31,6:30,95,116,110
32,6:31,107,115,112
33,6:35,60,116,110
34,6:41,61,115,110
35,6:46,62,116,112
36,6:47,63,116,111
37,6:48,64,115,111
38,6:50,65,115,111
39,6:52,66,116,113
40,6:55,67,115,112
41,6:59,68,116,112
42,7:05,69,115,111
43,7:06,70,115,113
44,7:08,71,115,112
45,7:11,72,115,110
46,7:12,73,115,112
47,7:13,74,116,110
48,7:14,75,115,110
49,7:18,28,116,112
50,7:19,29,115,111
51,7:20,30,115,112
52,7:22,31,116,110
53,7:23,32,116,111
54,7:27,33,115,111
55,7:30,34,116,110
56,7:40,35,116,110
57,7:41,36,115,113
58,7:43,37,115,112
59,7:46,38,115,113
60,7:47,39,115,112
61,7:49,40,116,113
62,7:50,41,116,110
63,7:51,42,116,113
64,7:52,43,115,112
65,7:55,44,116,112
66,7:56,45,115,111
67,8:02,46,116,113
68,8:03,47,115,112
69,8:06,48,116,110
70,8:08,49,116,112
71,8:13,50,116,110
72,8:14,51,115,110
73,8:16,52,115,113
74,8:22,53,116,112
75,8:24,54,116,112
76,8:25,55,115,111
77,8:29,108,116,113
78,8:39,109,115,112
79,8:45,0,116,110
80,8:52,1,115,112
81,9:13,2,115,110
82,9:32,3,115,110
83,9:52,4,116,113
84,10:02,5,116,112
85,10:09,6,116,113
86,10:54,7,115,112
87,11:24,8,116,113
88,11:45,9,116,110
89,11:56,10,115,113
