vehicle_id,time,target_id,entrance_id,exit_id
1,4:01,183,223,226
2,4:11,4,222,224
3,4:18,173,222,225
4,4:23,203,222,227
5,4:37,190,223,225
6,4:56,1,222,227
7,5:03,54,222,230
8,5:09,23,223,226
9,5:19,5,223,227
10,5:23,217,222,226
11,5:28,195,223,228
12,5:30,77,223,224
13,5:31,129,222,224
14,5:32,42,223,227
15,5:33,32,222,227
16,5:34,83,222,224
17,5:36,168,223,227
18,5:37,15,223,227
19,5:38,44,223,224
20,5:40,147,222,224
21,5:41,120,223,225
22,5:42,43,223,228
23,5:43,206,223,229
24,5:44,122,222,230
25,5:46,107,223,229
26,5:47,138,223,230
27,5:48,85,222,224
28,5:50,196,222,225
29,5:51,12,222,229
30,5:53,104,222,228
31,5:55,40,222,228
32,5:56,219,223,226
33,5:57,175,223,227
34,5:58,11,223,228
35,5:59,216,222,228
36,6:01,188,222,230
37,6:03,87,222,230
38,6:04,96,222,227
39,6:01,170,222,225
40,6:03,134,223,228
41,6:04,28,222,224
42,6:06,3,223,224
43,6:07,64,222,227
44,6:08,29,223,230
45,6:09,66,223,227
46,6:10,125,223,228
47,6:14,127,222,226
48,6:15,94,222,228
49,6:18,72,223,226
50,6:19,113,222,227
51,6:20,51,223,225
52,6:21,198,222,225
53,6:23,13,222,228
54,6:24,115,223,224
55,6:25,86,223,228
56,6:26,119,223,226
57,6:28,158,223,224
58,6:29,37,222,224
59,6:30,111,223,224
60,6:31,69,222,230
61,6:32,123,222,226
62,6:33,150,222,230
63,6:34,142,223,227
64,6:35,41,223,227
65,6:36,14,222,224
66,6:37,121,223,230
67,6:38,156,222,226
68,6:39,191,222,229
69,6:40,153,223,226
70,6:41,46,222,230
71,6:42,61,222,230
72,6:43,71,222,229
73,6:44,174,223,228
74,6:46,7,222,228
75,6:47,116,223,229
76,6:49,130,222,226
77,6:50,97,222,226
78,6:52,88,222,224
79,6:54,166,222,226
80,6:55,155,223,228
81,6:56,149,223,227
82,6:58,117,222,226
83,6:59,205,222,228
84,7:01,204,222,228
85,7:02,79,223,229
86,7:04,75,223,225
87,7:05,148,223,224
88,7:07,187,223,227
89,7:08,157,223,226
90,7:09,20,222,226
91,7:10,10,223,228
92,7:11,78,223,224
93,7:12,47,223,224
94,7:13,164,222,228
95,7:14,214,222,228
96,7:15,26,222,226
97,7:16,99,222,224
98,7:17,58,223,229
99,7:18,177,222,225
100,7:19,145,223,228
101,7:20,19,223,228
102,7:22,65,222,230
103,7:23,143,223,227
104,7:25,160,223,226
105,7:26,212,222,224
106,7:27,36,222,230
107,7:28,95,223,224
108,7:29,176,222,224
109,7:31,84,222,228
110,7:32,202,223,228
111,7:34,8,223,226
112,7:35,35,223,224
113,7:37,16,222,229
114,7:38,194,223,224
115,7:40,141,223,229
116,7:41,151,223,230
117,7:42,106,222,226
118,7:44,74,222,228
119,7:45,208,223,224
120,7:46,197,223,228
121,7:47,209,222,227
122,7:48,39,223,226
123,7:49,30,223,224
124,7:50,171,222,225
125,7:51,132,223,226
126,7:52,211,222,224
127,7:54,144,222,229
128,7:55,50,222,227
129,7:56,167,223,228
130,7:57,163,222,228
131,7:58,179,222,228
132,8:01,169,222,228
133,8:02,124,222,226
134,8:03,67,223,224
135,8:04,181,223,228
136,8:05,103,222,224
137,8:06,161,223,226
138,8:07,48,223,227
139,8:08,38,222,227
140,8:09,92,223,224
141,8:10,199,223,224
142,8:11,89,222,230
143,8:13,100,222,228
144,8:14,102,223,228
145,8:15,210,222,224
146,8:16,110,222,227
147,8:17,27,222,224
148,8:19,68,222,230
149,8:20,90,223,224
150,8:21,220,223,229
151,8:22,33,222,225
152,8:24,17,222,228
153,8:26,126,222,230
154,8:27,34,222,229
155,8:29,128,223,229
156,8:32,207,223,228
157,8:36,139,222,224
158,8:37,55,222,226
159,8:42,184,223,230
160,8:47,109,223,224
161,8:52,152,223,226
162,9:02,24,223,226
163,9:16,200,223,225
164,9:28,193,222,224
165,9:31,172,222,226
166,9:48,18,222,230
167,9:55,25,223,226
168,10:08,9,223,226
169,10:11,82,223,225
170,10:15,60,223,227
171,10:36,93,223,225
172,10:49,165,222,226
173,10:58,80,223,225
174,11:01,45,223,226
175,11:07,159,223,226
176,11:29,112,223,228
177,11:35,22,222,224
