vehicle_id,time,target_id,entrance_id,exit_id
1,5:45,44,67,66
2,5:57,43,67,66
3,6:03,42,67,66
4,6:04,41,67,65
5,6:30,40,67,66
6,6:36,39,67,65
7,6:38,38,67,66
8,6:43,51,67,66
9,6:54,52,67,65
10,6:56,56,67,66
11,7:02,57,67,66
12,7:05,58,67,66
13,7:06,62,67,65
14,7:10,63,67,66
15,7:11,64,67,65
16,7:15,48,67,66
17,7:18,49,67,66
18,7:20,50,67,66
19,7:23,53,67,65
20,7:24,54,67,66
21,7:32,55,67,65
22,7:35,59,67,65
23,7:36,60,67,66
24,7:37,61,67,66
25,7:38,37,67,65
26,7:40,36,67,65
27,7:41,35,67,66
28,7:43,31,67,65
29,7:45,30,67,65
30,7:46,29,67,66
31,7:47,25,67,65
32,7:48,24,67,65
33,7:50,23,67,66
34,7:52,19,67,65
35,7:53,18,67,66
36,7:55,17,67,65
37,7:58,34,67,66
38,8:01,33,67,65
39,8:03,32,67,65
40,8:06,28,67,66
41,8:09,27,67,65
42,8:10,26,67,65
