vehicle_id,time,target_id,entrance_id,exit_id
1,5:30,77,223,224
2,5:31,129,222,224
3,5:32,42,223,227
4,5:33,32,222,227
5,5:34,83,222,224
6,5:36,168,223,227
7,5:37,15,223,227
8,5:38,44,223,224
9,5:40,147,222,224
10,5:41,120,223,225
11,5:42,43,223,228
12,5:43,206,223,229
13,5:44,122,222,230
14,5:46,107,223,229
15,5:47,138,223,230
16,5:48,85,222,224
17,5:50,196,222,225
18,5:51,12,222,229
19,5:53,104,222,228
20,5:55,40,222,228
21,5:56,219,223,226
22,5:57,175,223,227
23,5:58,11,223,228
24,5:59,216,222,228
25,6:01,188,222,230
26,6:03,87,222,230
27,6:04,96,222,227
28,6:01,170,222,225
29,6:03,134,223,228
30,6:04,28,222,224
31,6:06,3,223,224
32,6:07,64,222,227
33,6:08,29,223,230
34,6:09,66,223,227
35,6:10,125,223,228
36,6:14,127,222,226
37,6:15,94,222,228
38,6:18,72,223,226
39,6:19,113,222,227
40,6:20,51,223,225
41,6:21,198,222,225
42,6:23,13,222,228
43,6:24,115,223,224
44,6:25,86,223,228
45,6:26,119,223,226
46,6:28,158,223,224
47,6:29,37,222,224
48,6:30,111,223,224
49,6:31,69,222,230
50,6:32,123,222,226
51,6:33,150,222,230
52,6:34,142,223,227
53,6:35,41,223,227
54,6:36,14,222,224
55,6:37,121,223,230
56,6:38,156,222,226
57,6:39,191,222,229
58,6:40,153,223,226
59,6:41,46,222,230
60,6:42,61,222,230
61,6:43,71,222,229
62,6:44,174,223,228
63,6:46,7,222,228
64,6:47,116,223,229
65,6:49,130,222,226
66,6:50,97,222,226
67,6:52,88,222,224
68,6:54,166,222,226
69,6:55,155,223,228
70,6:56,149,223,227
71,6:58,117,222,226
72,6:59,205,222,228
73,7:01,204,222,228
74,7:02,79,223,229
75,7:04,75,223,225
76,7:05,148,223,224
77,7:07,187,223,227
78,7:08,157,223,226
79,7:09,20,222,226
80,7:10,10,223,228
81,7:11,78,223,224
82,7:12,47,223,224
83,7:13,164,222,228
84,7:14,214,222,228
85,7:15,26,222,226
86,7:16,99,222,224
87,7:17,58,223,229
88,7:18,177,222,225
89,7:19,145,223,228
90,7:20,19,223,228
91,7:22,65,222,230
92,7:23,143,223,227
93,7:25,160,223,226
94,7:26,212,222,224
95,7:27,36,222,230
96,7:28,95,223,224
97,7:29,176,222,224
98,7:31,84,222,228
99,7:32,202,223,228
100,7:34,8,223,226
101,7:35,35,223,224
102,7:37,16,222,229
103,7:38,194,223,224
104,7:40,141,223,229
105,7:41,151,223,230
106,7:42,106,222,226
107,7:44,74,222,228
108,7:45,208,223,224
109,7:46,197,223,228
110,7:47,209,222,227
111,7:48,39,223,226
112,7:49,30,223,224
113,7:50,171,222,225
114,7:51,132,223,226
115,7:52,211,222,224
116,7:54,144,222,229
117,7:55,50,222,227
118,7:56,167,223,228
119,7:57,163,222,228
120,7:58,179,222,228
121,8:01,169,222,228
122,8:02,124,222,226
123,8:03,67,223,224
124,8:04,181,223,228
125,8:05,103,222,224
126,8:06,161,223,226
127,8:07,48,223,227
128,8:08,38,222,227
129,8:09,92,223,224
130,8:10,199,223,224
131,8:11,89,222,230
132,8:13,100,222,228
133,8:14,102,223,228
134,8:15,210,222,224
135,8:16,110,222,227
136,8:17,27,222,224
137,8:19,68,222,230
138,8:20,90,223,224
139,8:21,220,223,229
140,8:22,33,222,225
141,8:24,17,222,228
142,8:26,126,222,230
143,8:27,34,222,229
144,8:29,128,223,229
