light_id,light_x,light_y
1,31.9,52.4
2,36,52.4
3,40,52.4
4,44,52.4
5,48.1,52.4
6,52.2,52.4
7,56.2,52.4
8,60.2,52.4
9,64.3,52.4
10,68.4,52.4
11,72.4,52.4
12,76.5,52.4
13,80.5,52.4
14,84.6,52.4
15,89.1,52.4
16,92.7,52.4
17,97.3,52.4
18,100.8,52.4
19,104.8,52.4
20,31.9,36.2
21,36,36.2
22,40,36.2
23,44,36.2
24,48.1,36.2
25,52.2,36.2
26,56.2,36.2
27,60.2,36.2
28,64.3,36.2
29,68.4,36.2
30,72.4,36.2
31,76.5,36.2
32,80.5,36.2
33,84.6,36.2
34,89.1,36.2
35,92.7,36.2
36,97.3,36.2
37,100.8,36.2
38,104.8,36.2
39,31.9,68.6
40,36,68.6
41,40,68.6
42,44,68.6
43,48.1,68.6
44,52.2,68.6
45,56.2,68.6
46,60.2,68.6
47,64.3,68.6
48,68.4,68.6
49,72.4,68.6
50,76.5,68.6
51,26,84.8
52,31.9,84.8
53,36,84.8
54,40,84.8
55,44,84.8
56,48.1,84.8
57,52.2,84.8
58,56.2,84.8
59,60.2,84.8
60,64.3,84.8
61,68.4,84.8
62,72.4,84.8
63,76.5,84.8
64,2.8,39.2
65,9.6,39.2
66,17.8,39.2
67,74.2,30.6
68,48.1,20
69,52.2,20
70,56.2,20
71,60.2,20
72,64.3,20
73,68.4,20
74,48.1,3.1
75,52.2,3.1
76,56.2,3.1
77,60.2,3.1
78,64.3,3.1
79,68.4,3.1
80,82.6,84.8
81,82.6,79.2
82,82.6,74.2
83,82.6,68.6
84,25.9,79.2
85,25.9,74.2
86,25.9,68.6
87,25.9,63
88,25.9,58
89,25.9,53
90,25.9,44.9
91,25.9,39.3
92,106,45.2
93,106,41.8
94,42.1,30.6
95,42.1,25.6
96,42.1,19.5
97,43.1,13.7
98,43.1,8.7
99,43.1,3.3
