vehicle_id,path_id,time
1,47,6:05
2,51,6:22
3,46,6:36
4,52,6:45
5,48,6:57
6,43,7:03
7,44,7:04
8,49,7:30
9,45,7:36
10,50,7:38
11,37,7:43
12,41,7:54
13,38,7:56
14,35,8:02
15,39,8:05
16,42,8:06
17,40,8:10
18,36,8:11
19,30,8:15
20,31,8:18
21,34,8:20
22,33,8:23
23,29,8:24
24,32,8:32
25,59,8:35
26,57,8:36
27,60,8:37
28,56,8:38
29,61,8:40
30,53,8:41
31,58,8:43
32,54,8:45
33,55,8:46
34,28,8:47
35,23,8:48
36,19,8:50
37,21,8:52
38,18,8:53
39,22,8:55
40,27,8:58
41,25,9:01
42,24,9:03
43,17,9:06
44,26,9:09
45,20,9:10
46,14,9:13
47,10,9:15
48,6,9:16
49,3,9:20
50,8,9:22
51,16,9:23
52,1,9:24
53,5,9:25
54,15,9:27
55,11,9:29
56,9,9:43
57,12,10:23
58,2,11:05
59,13,11:23
60,4,11:37
61,7,11:49
